n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,0.000543188,0.000119533,0.000487,0.000496,0.0005115,0.00054225,0.00116
3,0.003488,0.000274644,0.003265,0.0032855,0.0033565,0.00364775,0.004442
5,0.0376441,0.00527692,0.029719,0.0326222,0.0402325,0.0413255,0.048191
7,0.436354,0.0644336,0.350148,0.363781,0.437297,0.488439,0.56831
9,5.17699,0.384026,4.61608,4.91752,5.10748,5.33164,6.58373
11,60.6055,1.69941,57.6797,59.2201,60.3724,61.9748,64.1446
13,878.956,8.6486,856.623,874.657,879.446,884.86,893.978
15,12082.5,1403.84,10683.3,11104.7,11523.1,12471.2,15490.8
